age,box_ddpm,box_odpm,d_dpm,d_dpm_rank,dpm,dpm_rank,nba_id,o_dpm,o_dpm_rank,on_off_ddpm,on_off_odpm,player_name,season,team_name,tm_id
35.8,-0.82,-3.03,-0.8,343,-3.83,447,78,-3.03,436,-0.37,-3.04,LaSalle Thompson,1997,Indiana Pacers,1610612754
32.5,-1.25,-2.04,-1.22,407,-3.25,426,80,-2.03,349,-0.72,-1.65,Ken Norman,1997,Atlanta Hawks,1610612737
31.3,-0.34,-2.55,-0.37,221,-2.86,399,81,-2.48,394,-0.74,-1.3,Jeff Grayer,1997,Sacramento Kings,1610612758
33.9,-1.22,-1.58,-1.16,402,-2.81,392,82,-1.65,307,-0.92,-2.1,Bill Wennington,1997,Chicago Bulls,1610612741
26.6,-1.06,1.79,-1.12,396,0.88,57,84,2.01,22,-1.18,2.34,Latrell Sprewell,1997,Golden State Warriors,1610612744
28.2,-1.5,-0.45,-1.41,417,-1.89,284,85,-0.48,167,-0.73,-0.87,Brent Price,1997,Houston Rockets,1610612745
30.9,2,0.26,2.48,2,2.56,15,87,0.08,114,2.95,-0.21,Dikembe Mutombo,1997,Atlanta Hawks,1610612737
29.6,-1,-1.58,-0.99,381,-2.57,368,88,-1.57,295,-0.66,-1.12,Steve Scheffler,1997,Oklahoma City Thunder,1610612760
25.5,-2.02,1.61,-1.73,444,-0.12,109,89,1.61,33,-1.44,1.6,Nick Van Exel,1997,Los Angeles Lakers,1610612747
26.8,-1.29,-0.45,-1.26,410,-1.76,268,93,-0.5,170,-1.09,-0.92,Hubert Davis,1997,Toronto Raptors,1610612761
32,-1.22,-0.92,-1.06,388,-2.04,305,95,-0.98,223,-0.59,-1.29,Mark Bryant,1997,Phoenix Suns,1610612756
34.3,-0.19,1.32,-0.21,174,0.98,54,96,1.19,46,-0.24,0.93,Detlef Schrempf,1997,Oklahoma City Thunder,1610612760
29.3,1.17,-0.62,1.03,29,0.48,69,98,-0.54,174,0.83,-0.36,Nick Anderson,1997,Orlando Magic,1610612753
30.3,-0.52,-1.67,-0.54,282,-2.22,335,100,-1.67,310,-0.86,-1.67,Tim Legler,1997,Washington Wizards,1610612764
27.3,-0.22,0.46,-0.2,170,0.15,90,103,0.35,92,-0.17,0.1,Todd Day,1997,Boston Celtics,1610612738
32,-0.03,-1.08,-0.03,141,-1.12,189,104,-1.09,234,-0.39,-1.53,Benoit Benjamin,1997,Toronto Raptors,1610612761
31.7,0.11,0.6,0.19,104,0.67,63,105,0.48,85,0.32,0.12,Dan Majerle,1997,Miami Heat,1610612748
36.7,-1.97,0.71,-1.84,449,-1.42,230,107,0.42,88,-1.71,-0.08,Dale Ellis,1997,Denver Nuggets,1610612743
26.7,1.64,-0.13,1.41,17,1.28,42,109,-0.13,130,1,-0.14,Robert Horry,1997,Los Angeles Lakers,1610612747
26.9,-1.31,2.25,-1.3,412,0.64,65,111,1.94,23,-1.28,1.16,LaPhonso Ellis,1997,Denver Nuggets,1610612743
22.9,-0.77,-0.18,-0.73,324,-1.01,180,112,-0.29,144,-0.51,-1.22,Dontonio Wingfield,1997,Portland Trail Blazers,1610612757
25.5,-0.62,-0.69,-0.62,305,-1.32,211,114,-0.7,191,-0.63,-0.79,Harold Miner,1997,Memphis Grizzlies,1610612763
32.4,-0.27,-1.18,-0.27,194,-1.49,236,116,-1.22,247,-0.26,-2.01,David Wood,1997,Milwaukee Bucks,1610612749
28.1,-1.93,1.41,-1.61,437,-0.11,107,120,1.5,36,-1.28,1.65,Steven Smith,1997,Atlanta Hawks,1610612737
34.8,3.18,0.4,2.47,3,2.85,13,121,0.38,89,1.78,0.34,Patrick Ewing,1997,New York Knicks,1610612752
36.5,-1.29,-1.5,-1.28,411,-2.79,388,122,-1.51,287,-0.69,-2.49,Fred Roberts,1997,Dallas Mavericks,1610612742
28.2,0.34,-0.19,0.01,132,-0.18,113,123,-0.19,133,-0.56,-0.2,Robert Pack,1997,Dallas Mavericks,1610612742
29.2,1.92,-0.03,1.88,7,1.91,24,124,0.03,119,1.84,0.16,Vlade Divac,1997,Charlotte Hornets,1610612766
28.7,-0.82,-1.16,-0.56,288,-1.89,284,128,-1.33,265,-0.52,-1.38,David Benoit,1997,Brooklyn Nets,1610612751
29.7,0.33,-2.14,0.35,77,-1.74,265,129,-2.09,356,0.4,-1.8,Dino Radja,1997,Boston Celtics,1610612738
26.4,-0.02,1.74,-0.39,229,1.03,53,133,1.41,39,-0.76,0.86,David Wesley,1997,Boston Celtics,1610612738
31.2,-2.03,3.7,-1.54,430,2.05,20,134,3.59,2,-1.02,3.4,Kevin Johnson,1997,Phoenix Suns,1610612756
27.6,0.4,-1.56,0.97,33,-0.25,118,136,-1.21,245,1.57,-0.6,P.J. Brown,1997,Miami Heat,1610612748
31.6,-0.91,0.35,-0.91,365,-0.79,156,137,0.13,106,-0.92,-0.44,Vernon Maxwell,1997,San Antonio Spurs,1610612759
30.9,0.25,-2.25,0.09,117,-2.13,321,140,-2.22,366,-0.47,-2.01,Donald Royal,1997,Charlotte Hornets,1610612766
