season,player_id,player_name,RAPM,RAPM_rank
2020,202704,Reggie Jackson,2.6081280646610887,1
2020,201939,Stephen Curry,2.1598108435097405,2
2020,1628381,John Collins,1.8865923581903798,3
2020,1627750,Jamal Murray,1.8589784237512523,4
2020,202695,Kawhi Leonard,1.84186758210369,5
2020,203497,Rudy Gobert,1.834597436201741,6
2020,1628969,Mikal Bridges,1.7648829200469152,7
2020,203925,Joe Harris,1.73958364891083,8
2020,1629027,Trae Young,1.7339432374094885,9
2020,202681,Kyrie Irving,1.733096330289794,10
2020,203954,Joel Embiid,1.645834905078042,11
2020,203110,Draymond Green,1.623352315520615,12
2020,203468,CJ McCollum,1.6009126487859149,13
2020,202711,Bojan Bogdanovic,1.5814850025853906,14
2020,202710,Jimmy Butler III,1.5692946101754939,15
2020,1629130,Duncan Robinson,1.5649110392830359,16
2020,201144,Mike Conley,1.4849098251268744,17
2020,202331,Paul George,1.3943289380897488,18
2020,201950,Jrue Holiday,1.3933344931029676,19
2020,203507,Giannis Antetokounmpo,1.3097799934185512,20
2020,1628984,Devonte' Graham,1.2940873207868329,21
2020,1629627,Zion Williamson,1.2696729126685953,22
2020,1630193,Immanuel Quickley,1.2451653064624921,23
2020,202699,Tobias Harris,1.232974251555271,24
2020,2544,LeBron James,1.1853404248282264,25
2020,1627732,Ben Simmons,1.1689784224466147,26
2020,203967,Dario Saric,1.166433674475571,27
2020,1627827,Dorian Finney-Smith,1.1476636666478766,28
2020,201142,Kevin Durant,1.1412502041527068,29
2020,1627783,Pascal Siakam,1.1115918380618146,30
2020,1628401,Derrick White,1.0982476610926744,31
2020,201577,Robin Lopez,1.0721945312899337,32
2020,1629003,Shake Milton,1.0626990876241913,33
2020,1626164,Devin Booker,1.0624662936385834,34
2020,1628408,PJ Dozier,1.0588780169848844,35
2020,1627759,Jaylen Brown,1.0522843038842105,36
2020,203552,Seth Curry,1.0434567561135228,37
2020,203999,Nikola Jokić,1.0331733421530418,38
2020,201980,Danny Green,1.0103971093472528,39
2020,201152,Thaddeus Young,0.9805580788946289,40
2020,1627761,DeAndre' Bembry,0.9615882068470859,41
2020,203944,Julius Randle,0.9439649736584539,42
2020,1626157,Karl-Anthony Towns,0.9372510372077277,43
2020,204020,Tyler Johnson,0.9252350978653187,44
2020,203484,Kentavious Caldwell-Pope,0.9180514482504992,45
2020,203083,Andre Drummond,0.9159595749255355,46
2020,1629640,Keldon Johnson,0.9158927164357021,47
2020,202066,Garrett Temple,0.9052514753770131,48
2020,201572,Brook Lopez,0.8724482942609401,49
2020,1628366,Lonzo Ball,0.8673537553290691,50
2020,203487,Michael Carter-Williams,0.8586494994501198,51
2020,1628378,Donovan Mitchell,0.8500304335511304,52
2020,1627814,Damion Lee,0.8381350821818611,53
2020,202689,Kemba Walker,0.8288092369421645,54
2020,1626181,Norman Powell,0.817332145894739,55
2020,1627749,Dejounte Murray,0.8017666577991184,56
2020,1627936,Alex Caruso,0.7957566105680004,57
2020,203488,Mike Muscala,0.7836152035613498,58
2020,1629185,Chris Chiozza,0.7818857194418168,59
2020,1626220,Royce O'Neale,0.7805618420274424,60
2020,1627789,Timothe Luwawu-Cabarrot,0.7803881959506932,61
2020,1628415,Dillon Brooks,0.7767336147145896,62
2020,203994,Jusuf Nurkić,0.7720927294410896,63
2020,201587,Nicolas Batum,0.750138489177078,64
2020,201609,Goran Dragic,0.7331339483180106,65
2020,1628410,Edmond Sumner,0.7298567079440778,66
2020,1627751,Jakob Poeltl,0.7254206244477157,67
2020,1627756,Denzel Valentine,0.7196074710807603,68
2020,1630182,Josh Green,0.7147325631243422,69
2020,1626167,Myles Turner,0.710229388476592,70
2020,1627777,Georges Niang,0.7064244467908258,71
2020,1629029,Luka Dončić,0.6992887696134609,72
2020,200752,Rudy Gay,0.6943652583677513,73
2020,1628978,Donte DiVincenzo,0.6897713476062839,74
2020,1626166,Cameron Payne,0.6882071112066162,75
2020,1629103,Kelan Martin,0.6866160104907735,76
2020,203957,Dante Exum,0.6833025392329816,77
2020,203145,Kent Bazemore,0.6762707938018258,78
2020,1627853,Ryan Arcidiacono,0.6728918784195945,79
2020,201566,Russell Westbrook,0.671512719952923,80
2020,101108,Chris Paul,0.6665192441178963,81
2020,202692,Alec Burks,0.6621603867900966,82
2020,1628436,Luke Kornet,0.6468916801012551,83
2020,203937,Kyle Anderson,0.6460274134545735,84
2020,201143,Al Horford,0.6346411467758994,85
2020,1628983,Shai Gilgeous-Alexander,0.6340156203629298,86
2020,203200,Justin Holiday,0.6301925120641463,87
2020,1629611,Terance Mann,0.6284822094583912,88
2020,1626192,Pat Connaughton,0.6144246111205491,89
2020,1626204,Larry Nance Jr.,0.6124763263173486,90
2020,203076,Anthony Davis,0.6031349688879574,91
2020,203496,Robert Covington,0.5938762506813544,92
2020,203932,Aaron Gordon,0.5937998508180116,93
2020,1629008,Michael Porter Jr.,0.584510431464817,94
2020,204060,Joe Ingles,0.5835544502531758,95
2020,203939,Dwight Powell,0.5751446125040621,96
2020,1629052,Oshae Brissett,0.5701653156544518,97
2020,204038,Langston Galloway,0.5685929246352279,98
2020,203953,Jabari Parker,0.5601015495294442,99
2020,1626172,Kevon Looney,0.5592386227847013,100
2020,203992,Bogdan Bogdanović,0.5527376305977556,101
2020,1627823,Juancho Hernangomez,0.5320010853875861,102
2020,202683,Enes Freedom,0.5313142263718611,103
2020,202722,Davis Bertans,0.5165198152366435,104
2020,201935,James Harden,0.5138788676369985,105
2020,201586,Serge Ibaka,0.5097671310920859,106
2020,203471,Dennis Schröder,0.5078391521805603,107
2020,201961,Wayne Ellington,0.49869274177020767,108
2020,1628021,David Nwaba,0.497417138415299,109
2020,1629673,Jordan Poole,0.49603049086063933,110
2020,203082,Terrence Ross,0.48430859030562545,111
